"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","1997","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","130161"
"Expenditure on Gross National Income at Constant Market Prices","1997","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-10372"
"Expenditure on Gross National Income at Constant Market Prices","1997","101. Gross national product at constant market prices","Euro Million","124946"
"Expenditure on Gross National Income at Constant Market Prices","1997","102. EU subsidies - ESA code (D.3)","Euro Million","3337"
"Expenditure on Gross National Income at Constant Market Prices","1997","103. EU taxes - ESA code (D.2)","Euro Million","-413"
"Expenditure on Gross National Income at Constant Market Prices","1997","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","127799"
"Expenditure on Gross National Income at Constant Market Prices","1997","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-12769"
"Expenditure on Gross National Income at Constant Market Prices","1997","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","120230"
"Expenditure on Gross National Income at Constant Market Prices","1998","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","66703"
"Expenditure on Gross National Income at Constant Market Prices","1998","92a Final consumption expenditure of Households and NPISHs","Euro Million","65190"
"Expenditure on Gross National Income at Constant Market Prices","1998","92b Final consumption expenditure of government","Euro Million","1658"
"Expenditure on Gross National Income at Constant Market Prices","1998","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","23786"
"Expenditure on Gross National Income at Constant Market Prices","1998","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","33086"
"Expenditure on Gross National Income at Constant Market Prices","1998","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1510"
"Expenditure on Gross National Income at Constant Market Prices","1998","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","1998","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","90996"
