"Statistic Label","Year","Item","UNIT","VALUE"
"Expenditure on Gross National Income at Constant Market Prices","2007","103. EU taxes - ESA code (D.2)","Euro Million","-334"
"Expenditure on Gross National Income at Constant Market Prices","2007","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","216250"
"Expenditure on Gross National Income at Constant Market Prices","2007","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-29614"
"Expenditure on Gross National Income at Constant Market Prices","2007","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","193056"
"Expenditure on Gross National Income at Constant Market Prices","2008","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","115322"
"Expenditure on Gross National Income at Constant Market Prices","2008","92a Final consumption expenditure of Households and NPISHs","Euro Million","111064"
"Expenditure on Gross National Income at Constant Market Prices","2008","92b Final consumption expenditure of government","Euro Million","4554"
"Expenditure on Gross National Income at Constant Market Prices","2008","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","37516"
"Expenditure on Gross National Income at Constant Market Prices","2008","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","58151"
"Expenditure on Gross National Income at Constant Market Prices","2008","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","-207"
"Expenditure on Gross National Income at Constant Market Prices","2008","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2008","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","190172"
"Expenditure on Gross National Income at Constant Market Prices","2008","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-181673"
"Expenditure on Gross National Income at Constant Market Prices","2008","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2008","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","234517"
"Expenditure on Gross National Income at Constant Market Prices","2008","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-31745"
"Expenditure on Gross National Income at Constant Market Prices","2008","101. Gross national product at constant market prices","Euro Million","205935"
"Expenditure on Gross National Income at Constant Market Prices","2008","102. EU subsidies - ESA code (D.3)","Euro Million","2234"
"Expenditure on Gross National Income at Constant Market Prices","2008","103. EU taxes - ESA code (D.2)","Euro Million","-291"
"Expenditure on Gross National Income at Constant Market Prices","2008","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","207846"
"Expenditure on Gross National Income at Constant Market Prices","2008","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-28879"
"Expenditure on Gross National Income at Constant Market Prices","2008","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","185035"
"Expenditure on Gross National Income at Constant Market Prices","2009","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","109649"
"Expenditure on Gross National Income at Constant Market Prices","2009","92a Final consumption expenditure of Households and NPISHs","Euro Million","105151"
"Expenditure on Gross National Income at Constant Market Prices","2009","92b Final consumption expenditure of government","Euro Million","4771"
"Expenditure on Gross National Income at Constant Market Prices","2009","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","36105"
"Expenditure on Gross National Income at Constant Market Prices","2009","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","48307"
"Expenditure on Gross National Income at Constant Market Prices","2009","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","-913"
"Expenditure on Gross National Income at Constant Market Prices","2009","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2009","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","199012"
"Expenditure on Gross National Income at Constant Market Prices","2009","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-178580"
"Expenditure on Gross National Income at Constant Market Prices","2009","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2009","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","222567"
"Expenditure on Gross National Income at Constant Market Prices","2009","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-36436"
"Expenditure on Gross National Income at Constant Market Prices","2009","101. Gross national product at constant market prices","Euro Million","188632"
"Expenditure on Gross National Income at Constant Market Prices","2009","102. EU subsidies - ESA code (D.3)","Euro Million","2257"
"Expenditure on Gross National Income at Constant Market Prices","2009","103. EU taxes - ESA code (D.2)","Euro Million","-258"
"Expenditure on Gross National Income at Constant Market Prices","2009","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","190609"
"Expenditure on Gross National Income at Constant Market Prices","2009","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-28620"
"Expenditure on Gross National Income at Constant Market Prices","2009","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","167078"
"Expenditure on Gross National Income at Constant Market Prices","2010","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","110525"
"Expenditure on Gross National Income at Constant Market Prices","2010","92a Final consumption expenditure of Households and NPISHs","Euro Million","105468"
"Expenditure on Gross National Income at Constant Market Prices","2010","92b Final consumption expenditure of government","Euro Million","5279"
"Expenditure on Gross National Income at Constant Market Prices","2010","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","33704"
"Expenditure on Gross National Income at Constant Market Prices","2010","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","41047"
"Expenditure on Gross National Income at Constant Market Prices","2010","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","-369"
"Expenditure on Gross National Income at Constant Market Prices","2010","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2010","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","210916"
"Expenditure on Gross National Income at Constant Market Prices","2010","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-179595"
"Expenditure on Gross National Income at Constant Market Prices","2010","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2010","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","226312"
"Expenditure on Gross National Income at Constant Market Prices","2010","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-33649"
"Expenditure on Gross National Income at Constant Market Prices","2010","101. Gross national product at constant market prices","Euro Million","195502"
"Expenditure on Gross National Income at Constant Market Prices","2010","102. EU subsidies - ESA code (D.3)","Euro Million","1970"
"Expenditure on Gross National Income at Constant Market Prices","2010","103. EU taxes - ESA code (D.2)","Euro Million","-285"
"Expenditure on Gross National Income at Constant Market Prices","2010","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","197153"
"Expenditure on Gross National Income at Constant Market Prices","2010","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-29278"
"Expenditure on Gross National Income at Constant Market Prices","2010","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","173207"
"Expenditure on Gross National Income at Constant Market Prices","2011","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","108893"
"Expenditure on Gross National Income at Constant Market Prices","2011","92a Final consumption expenditure of Households and NPISHs","Euro Million","103861"
"Expenditure on Gross National Income at Constant Market Prices","2011","92b Final consumption expenditure of government","Euro Million","5245"
"Expenditure on Gross National Income at Constant Market Prices","2011","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","34585"
"Expenditure on Gross National Income at Constant Market Prices","2011","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","41028"
"Expenditure on Gross National Income at Constant Market Prices","2011","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","684"
"Expenditure on Gross National Income at Constant Market Prices","2011","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2011","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","217473"
"Expenditure on Gross National Income at Constant Market Prices","2011","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-184340"
"Expenditure on Gross National Income at Constant Market Prices","2011","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2011","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","229953"
"Expenditure on Gross National Income at Constant Market Prices","2011","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-40401"
"Expenditure on Gross National Income at Constant Market Prices","2011","101. Gross national product at constant market prices","Euro Million","191408"
"Expenditure on Gross National Income at Constant Market Prices","2011","102. EU subsidies - ESA code (D.3)","Euro Million","2175"
"Expenditure on Gross National Income at Constant Market Prices","2011","103. EU taxes - ESA code (D.2)","Euro Million","-292"
"Expenditure on Gross National Income at Constant Market Prices","2011","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","193272"
"Expenditure on Gross National Income at Constant Market Prices","2011","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-30218"
"Expenditure on Gross National Income at Constant Market Prices","2011","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","167941"
"Expenditure on Gross National Income at Constant Market Prices","2012","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","108187"
"Expenditure on Gross National Income at Constant Market Prices","2012","92a Final consumption expenditure of Households and NPISHs","Euro Million","102761"
"Expenditure on Gross National Income at Constant Market Prices","2012","92b Final consumption expenditure of government","Euro Million","5590"
"Expenditure on Gross National Income at Constant Market Prices","2012","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","33279"
"Expenditure on Gross National Income at Constant Market Prices","2012","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","47717"
"Expenditure on Gross National Income at Constant Market Prices","2012","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","556"
"Expenditure on Gross National Income at Constant Market Prices","2012","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2012","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","215685"
"Expenditure on Gross National Income at Constant Market Prices","2012","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-182469"
"Expenditure on Gross National Income at Constant Market Prices","2012","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2012","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","229022"
"Expenditure on Gross National Income at Constant Market Prices","2012","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-40845"
"Expenditure on Gross National Income at Constant Market Prices","2012","101. Gross national product at constant market prices","Euro Million","189944"
"Expenditure on Gross National Income at Constant Market Prices","2012","102. EU subsidies - ESA code (D.3)","Euro Million","2053"
"Expenditure on Gross National Income at Constant Market Prices","2012","103. EU taxes - ESA code (D.2)","Euro Million","-289"
"Expenditure on Gross National Income at Constant Market Prices","2012","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","191681"
"Expenditure on Gross National Income at Constant Market Prices","2012","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-31572"
"Expenditure on Gross National Income at Constant Market Prices","2012","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","164727"
"Expenditure on Gross National Income at Constant Market Prices","2013","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","107697"
"Expenditure on Gross National Income at Constant Market Prices","2013","92a Final consumption expenditure of Households and NPISHs","Euro Million","102701"
"Expenditure on Gross National Income at Constant Market Prices","2013","92b Final consumption expenditure of government","Euro Million","5203"
"Expenditure on Gross National Income at Constant Market Prices","2013","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","32825"
"Expenditure on Gross National Income at Constant Market Prices","2013","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","45724"
"Expenditure on Gross National Income at Constant Market Prices","2013","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","131"
"Expenditure on Gross National Income at Constant Market Prices","2013","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2013","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","238477"
"Expenditure on Gross National Income at Constant Market Prices","2013","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-198073"
"Expenditure on Gross National Income at Constant Market Prices","2013","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2013","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","234044"
"Expenditure on Gross National Income at Constant Market Prices","2013","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-35433"
"Expenditure on Gross National Income at Constant Market Prices","2013","101. Gross national product at constant market prices","Euro Million","201351"
"Expenditure on Gross National Income at Constant Market Prices","2013","102. EU subsidies - ESA code (D.3)","Euro Million","1817"
"Expenditure on Gross National Income at Constant Market Prices","2013","103. EU taxes - ESA code (D.2)","Euro Million","-294"
"Expenditure on Gross National Income at Constant Market Prices","2013","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","202825"
"Expenditure on Gross National Income at Constant Market Prices","2013","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-34436"
"Expenditure on Gross National Income at Constant Market Prices","2013","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","173128"
"Expenditure on Gross National Income at Constant Market Prices","2014","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","110320"
"Expenditure on Gross National Income at Constant Market Prices","2014","92a Final consumption expenditure of Households and NPISHs","Euro Million","105263"
"Expenditure on Gross National Income at Constant Market Prices","2014","92b Final consumption expenditure of government","Euro Million","5276"
"Expenditure on Gross National Income at Constant Market Prices","2014","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","33861"
"Expenditure on Gross National Income at Constant Market Prices","2014","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","54471"
"Expenditure on Gross National Income at Constant Market Prices","2014","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","2862"
"Expenditure on Gross National Income at Constant Market Prices","2014","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2014","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","273041"
"Expenditure on Gross National Income at Constant Market Prices","2014","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-226567"
"Expenditure on Gross National Income at Constant Market Prices","2014","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2014","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","256011"
"Expenditure on Gross National Income at Constant Market Prices","2014","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-37982"
"Expenditure on Gross National Income at Constant Market Prices","2014","101. Gross national product at constant market prices","Euro Million","221116"
"Expenditure on Gross National Income at Constant Market Prices","2014","102. EU subsidies - ESA code (D.3)","Euro Million","1654"
"Expenditure on Gross National Income at Constant Market Prices","2014","103. EU taxes - ESA code (D.2)","Euro Million","-326"
"Expenditure on Gross National Income at Constant Market Prices","2014","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","222372"
"Expenditure on Gross National Income at Constant Market Prices","2014","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-38127"
"Expenditure on Gross National Income at Constant Market Prices","2014","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","189391"
"Expenditure on Gross National Income at Constant Market Prices","2015","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","113976"
"Expenditure on Gross National Income at Constant Market Prices","2015","92a Final consumption expenditure of Households and NPISHs","Euro Million","108616"
"Expenditure on Gross National Income at Constant Market Prices","2015","92b Final consumption expenditure of government","Euro Million","5571"
"Expenditure on Gross National Income at Constant Market Prices","2015","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","34641"
"Expenditure on Gross National Income at Constant Market Prices","2015","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","84752"
"Expenditure on Gross National Income at Constant Market Prices","2015","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","4141"
"Expenditure on Gross National Income at Constant Market Prices","2015","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2015","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","380692"
"Expenditure on Gross National Income at Constant Market Prices","2015","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-300649"
"Expenditure on Gross National Income at Constant Market Prices","2015","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2015","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","319052"
"Expenditure on Gross National Income at Constant Market Prices","2015","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-68246"
"Expenditure on Gross National Income at Constant Market Prices","2015","101. Gross national product at constant market prices","Euro Million","252193"
"Expenditure on Gross National Income at Constant Market Prices","2015","102. EU subsidies - ESA code (D.3)","Euro Million","1976"
"Expenditure on Gross National Income at Constant Market Prices","2015","103. EU taxes - ESA code (D.2)","Euro Million","-389"
"Expenditure on Gross National Income at Constant Market Prices","2015","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","253701"
"Expenditure on Gross National Income at Constant Market Prices","2015","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-67399"
"Expenditure on Gross National Income at Constant Market Prices","2015","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","188501"
"Expenditure on Gross National Income at Constant Market Prices","2016","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","118872"
"Expenditure on Gross National Income at Constant Market Prices","2016","92a Final consumption expenditure of Households and NPISHs","Euro Million","113269"
"Expenditure on Gross National Income at Constant Market Prices","2016","92b Final consumption expenditure of government","Euro Million","5822"
"Expenditure on Gross National Income at Constant Market Prices","2016","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","36181"
"Expenditure on Gross National Income at Constant Market Prices","2016","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","118582"
"Expenditure on Gross National Income at Constant Market Prices","2016","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","3557"
"Expenditure on Gross National Income at Constant Market Prices","2016","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2016","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","400892"
"Expenditure on Gross National Income at Constant Market Prices","2016","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-353233"
"Expenditure on Gross National Income at Constant Market Prices","2016","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2016","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","322953"
"Expenditure on Gross National Income at Constant Market Prices","2016","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-58698"
"Expenditure on Gross National Income at Constant Market Prices","2016","101. Gross national product at constant market prices","Euro Million","266586"
"Expenditure on Gross National Income at Constant Market Prices","2016","102. EU subsidies - ESA code (D.3)","Euro Million","1864"
"Expenditure on Gross National Income at Constant Market Prices","2016","103. EU taxes - ESA code (D.2)","Euro Million","-578"
"Expenditure on Gross National Income at Constant Market Prices","2016","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","267797"
"Expenditure on Gross National Income at Constant Market Prices","2016","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-75955"
"Expenditure on Gross National Income at Constant Market Prices","2016","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","193554"
"Expenditure on Gross National Income at Constant Market Prices","2017","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","123142"
"Expenditure on Gross National Income at Constant Market Prices","2017","92a Final consumption expenditure of Households and NPISHs","Euro Million","117131"
"Expenditure on Gross National Income at Constant Market Prices","2017","92b Final consumption expenditure of government","Euro Million","6216"
"Expenditure on Gross National Income at Constant Market Prices","2017","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","37546"
"Expenditure on Gross National Income at Constant Market Prices","2017","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","122998"
"Expenditure on Gross National Income at Constant Market Prices","2017","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","4160"
"Expenditure on Gross National Income at Constant Market Prices","2017","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2017","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","445062"
"Expenditure on Gross National Income at Constant Market Prices","2017","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-368107"
"Expenditure on Gross National Income at Constant Market Prices","2017","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2017","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","355599"
"Expenditure on Gross National Income at Constant Market Prices","2017","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-75729"
"Expenditure on Gross National Income at Constant Market Prices","2017","101. Gross national product at constant market prices","Euro Million","281785"
"Expenditure on Gross National Income at Constant Market Prices","2017","102. EU subsidies - ESA code (D.3)","Euro Million","1892"
"Expenditure on Gross National Income at Constant Market Prices","2017","103. EU taxes - ESA code (D.2)","Euro Million","-513"
"Expenditure on Gross National Income at Constant Market Prices","2017","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","283089"
"Expenditure on Gross National Income at Constant Market Prices","2017","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-84085"
"Expenditure on Gross National Income at Constant Market Prices","2017","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","200290"
"Expenditure on Gross National Income at Constant Market Prices","2018","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","130287"
"Expenditure on Gross National Income at Constant Market Prices","2018","92a Final consumption expenditure of Households and NPISHs","Euro Million","123547"
"Expenditure on Gross National Income at Constant Market Prices","2018","92b Final consumption expenditure of government","Euro Million","6914"
"Expenditure on Gross National Income at Constant Market Prices","2018","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","39269"
"Expenditure on Gross National Income at Constant Market Prices","2018","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","111822"
"Expenditure on Gross National Income at Constant Market Prices","2018","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","830"
"Expenditure on Gross National Income at Constant Market Prices","2018","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2018","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","466623"
"Expenditure on Gross National Income at Constant Market Prices","2018","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-360606"
"Expenditure on Gross National Income at Constant Market Prices","2018","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2018","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","382940"
"Expenditure on Gross National Income at Constant Market Prices","2018","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-90535"
"Expenditure on Gross National Income at Constant Market Prices","2018","101. Gross national product at constant market prices","Euro Million","294075"
"Expenditure on Gross National Income at Constant Market Prices","2018","102. EU subsidies - ESA code (D.3)","Euro Million","1538"
"Expenditure on Gross National Income at Constant Market Prices","2018","103. EU taxes - ESA code (D.2)","Euro Million","-510"
"Expenditure on Gross National Income at Constant Market Prices","2018","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","295055"
"Expenditure on Gross National Income at Constant Market Prices","2018","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-90782"
"Expenditure on Gross National Income at Constant Market Prices","2018","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","205185"
"Expenditure on Gross National Income at Constant Market Prices","2019","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","134038"
"Expenditure on Gross National Income at Constant Market Prices","2019","92a Final consumption expenditure of Households and NPISHs","Euro Million","126949"
"Expenditure on Gross National Income at Constant Market Prices","2019","92b Final consumption expenditure of government","Euro Million","7251"
"Expenditure on Gross National Income at Constant Market Prices","2019","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","41566"
"Expenditure on Gross National Income at Constant Market Prices","2019","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","223286"
"Expenditure on Gross National Income at Constant Market Prices","2019","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","1668"
"Expenditure on Gross National Income at Constant Market Prices","2019","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2019","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","518072"
"Expenditure on Gross National Income at Constant Market Prices","2019","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-506170"
"Expenditure on Gross National Income at Constant Market Prices","2019","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2019","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","401983"
"Expenditure on Gross National Income at Constant Market Prices","2019","100. Net factor income from the rest of the world - ESA code (D.1 & D.4) (net to abroad)","Euro Million","-97684"
"Expenditure on Gross National Income at Constant Market Prices","2019","101. Gross national product at constant market prices","Euro Million","305914"
"Expenditure on Gross National Income at Constant Market Prices","2019","102. EU subsidies - ESA code (D.3)","Euro Million","1546"
"Expenditure on Gross National Income at Constant Market Prices","2019","103. EU taxes - ESA code (D.2)","Euro Million","-533"
"Expenditure on Gross National Income at Constant Market Prices","2019","104. Gross national income at constant market prices - ESA code (B.5*g)","Euro Million","306881"
"Expenditure on Gross National Income at Constant Market Prices","2019","104.1 Provision for depreciation - ESA code (P.51c)","Euro Million","-98412"
"Expenditure on Gross National Income at Constant Market Prices","2019","104.2 Net national income at constant market prices - ESA code (B.5*n)","Euro Million","208896"
"Expenditure on Gross National Income at Constant Market Prices","2020","92. Personal consumption of goods and services - ESA code (P.3)","Euro Million","121518"
"Expenditure on Gross National Income at Constant Market Prices","2020","92a Final consumption expenditure of Households and NPISHs","Euro Million","114014"
"Expenditure on Gross National Income at Constant Market Prices","2020","92b Final consumption expenditure of government","Euro Million","7534"
"Expenditure on Gross National Income at Constant Market Prices","2020","93. Net expenditure by central and local government on current goods and services - ESA code (P.3)","Euro Million","46365"
"Expenditure on Gross National Income at Constant Market Prices","2020","94. Gross domestic fixed capital formation - ESA code (P.51)","Euro Million","186513"
"Expenditure on Gross National Income at Constant Market Prices","2020","95. Value of physical changes in stocks and net acquisitions of valuables - ESA code (P.52 & P.53)","Euro Million","4742"
"Expenditure on Gross National Income at Constant Market Prices","2020","95a Net additions to the breeding stocks","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2020","96. Exports of goods and services (excluding factor income flows) - ESA code (P.6)","Euro Million","588306"
"Expenditure on Gross National Income at Constant Market Prices","2020","97. Imports of goods and services (excluding factor income flows) - ESA code (P.7)","Euro Million","-507130"
"Expenditure on Gross National Income at Constant Market Prices","2020","98. Statistical discrepancy","Euro Million",""
"Expenditure on Gross National Income at Constant Market Prices","2020","99. Gross domestic product at constant market prices - ESA code (B.1*g)","Euro Million","430740"
