"Statistic Label","Census Year","Ireland and Northern Ireland","Sex","UNIT","VALUE"
"ILO Unemployment Rate","2021/2022","Ireland","Both sexes","%","4.6"
"ILO Unemployment Rate","2021/2022","Ireland","Male","%","4.6"
"ILO Unemployment Rate","2021/2022","Ireland","Female","%","4.6"
"ILO Unemployment Rate","2021/2022","Northern Ireland","Both sexes","%","4.7"
"ILO Unemployment Rate","2021/2022","Northern Ireland","Male","%","5.4"
"ILO Unemployment Rate","2021/2022","Northern Ireland","Female","%","4"
