Year,Region,Employed (16+),Unemployed (16+),Labour force (16+),Employment share (%),Unemployment rate (%)
2022,Northern Ireland,849108,41926,891034,95.3,4.7
2022,Republic of Ireland,2382483,115789,2498272,95.4,4.6
