Year,Region,Sex,Age band,Population
2022,Republic of Ireland,Female,25-29,148410
2022,Republic of Ireland,Female,30-34,171706
2022,Republic of Ireland,Female,35-39,199657
2022,Republic of Ireland,Female,40-44,210963
2022,Republic of Ireland,Female,45-49,188330
2022,Republic of Ireland,Female,50-54,170010
2022,Republic of Ireland,Female,55-59,155266
2022,Republic of Ireland,Female,60-64,138239
2022,Republic of Ireland,Female,65-69,120762
2022,Republic of Ireland,Female,70-74,103603
2022,Republic of Ireland,Female,75-79,80534
2022,Republic of Ireland,Female,80-84,52998
2022,Republic of Ireland,Female,85+,52834
2022,Republic of Ireland,Male,0-4,151408
2022,Republic of Ireland,Male,5-9,175470
2022,Republic of Ireland,Male,10-14,191114
2022,Republic of Ireland,Male,15-19,172342
2022,Republic of Ireland,Male,20-24,155446
2022,Republic of Ireland,Male,25-29,147398
2022,Republic of Ireland,Male,30-34,160517
2022,Republic of Ireland,Male,35-39,183212
2022,Republic of Ireland,Male,40-44,200561
2022,Republic of Ireland,Male,45-49,185174
2022,Republic of Ireland,Male,50-54,169993
2022,Republic of Ireland,Male,55-59,151899
2022,Republic of Ireland,Male,60-64,134431
2022,Republic of Ireland,Male,65-69,117382
2022,Republic of Ireland,Male,70-74,99281
2022,Republic of Ireland,Male,75-79,73726
2022,Republic of Ireland,Male,80-84,43588
2022,Republic of Ireland,Male,85+,31607
