"Statistic Label","Year","Sex","Ireland and Northern Ireland","UNIT","VALUE"
"Population","1996","Female","Northern Ireland","Number","851404"
"Population","2002","Both sexes","Ireland","Number","3917203"
"Population","2002","Both sexes","Northern Ireland","Number","1697534"
"Population","2002","Male","Ireland","Number","1946164"
"Population","2002","Male","Northern Ireland","Number","828986"
"Population","2002","Female","Ireland","Number","1971039"
"Population","2002","Female","Northern Ireland","Number","868548"
"Population","2006","Both sexes","Ireland","Number","4239848"
"Population","2006","Both sexes","Northern Ireland","Number","1743113"
"Population","2006","Male","Ireland","Number","2121171"
"Population","2006","Male","Northern Ireland","Number","853110"
"Population","2006","Female","Ireland","Number","2118677"
"Population","2006","Female","Northern Ireland","Number","890003"
"Population","2011","Both sexes","Ireland","Number","4588252"
"Population","2011","Both sexes","Northern Ireland","Number","1814318"
"Population","2011","Male","Ireland","Number","2272699"
"Population","2011","Male","Northern Ireland","Number","889322"
"Population","2011","Female","Ireland","Number","2315553"
"Population","2011","Female","Northern Ireland","Number","924996"
"Population","2016","Both sexes","Ireland","Number","4761865"
"Population","2016","Both sexes","Northern Ireland","Number","1866042"
"Population","2016","Male","Ireland","Number","2354428"
"Population","2016","Male","Northern Ireland","Number","916374"
"Population","2016","Female","Ireland","Number","2407437"
"Population","2016","Female","Northern Ireland","Number","949668"
"Population","2022","Both sexes","Ireland","Number","5149139"
"Population","2022","Both sexes","Northern Ireland","Number","1910543"
"Population","2022","Male","Ireland","Number","2544549"
"Population","2022","Male","Northern Ireland","Number","939947"
"Population","2022","Female","Ireland","Number","2604590"
"Population","2022","Female","Northern Ireland","Number","970596"
